"filename", "language", "Properties", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_Express_Backend\.env", "Properties", 12, 0, 0, 0, 0, 0, 8, 3, 23
"d:\CongNgheMoi\Zalo_Express_Backend\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 4, 13
"d:\CongNgheMoi\Zalo_Express_Backend\app.js", "JavaScript", 0, 0, 40, 0, 0, 0, 9, 18, 67
"d:\CongNgheMoi\Zalo_Express_Backend\package-lock.json", "JSON", 0, 10351, 0, 0, 0, 0, 0, 1, 10352
"d:\CongNgheMoi\Zalo_Express_Backend\package.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\CongNgheMoi\Zalo_Express_Backend\public\dist\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CongNgheMoi\Zalo_Express_Backend\server.js", "JavaScript", 0, 0, 30, 0, 0, 0, 3, 20, 53
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\nosql\config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 5, 5, 26
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\nosql\models\chat.history.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\nosql\models\chat.model.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 3, 45
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\nosql\models\message.model.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 5, 42
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\nosql\models\story.model.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\config\config.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\connectMySql.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\001-createUserMigrations.js", "JavaScript", 0, 0, 48, 0, 0, 0, 1, 1, 50
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\002-createProfileContactMigration.js", "JavaScript", 0, 0, 50, 0, 0, 0, 1, 0, 51
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\003-createFriendShipMigrations.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 0, 41
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\004-createPostMigrations.js", "JavaScript", 0, 0, 44, 0, 0, 0, 1, 0, 45
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\005-createCommentMigrations.js", "JavaScript", 0, 0, 42, 0, 0, 0, 1, 0, 43
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\migrations\006-createNotificationFriendShip.js", "JavaScript", 0, 0, 49, 0, 0, 0, 1, 0, 50
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\comment.model.js", "JavaScript", 0, 0, 29, 0, 0, 0, 6, 0, 35
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\friendShip.model.js", "JavaScript", 0, 0, 37, 0, 0, 0, 6, 4, 47
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\index.model.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 4, 42
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\notificationFriendShip.model.js", "JavaScript", 0, 0, 63, 0, 0, 0, 7, 4, 74
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\post.model.js", "JavaScript", 0, 0, 32, 0, 0, 0, 6, 0, 38
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\profileContact.model.js", "JavaScript", 0, 0, 38, 0, 0, 0, 6, 0, 44
"d:\CongNgheMoi\Zalo_Express_Backend\src\config\sql\models\user.model.js", "JavaScript", 0, 0, 49, 0, 0, 0, 6, 6, 61
"d:\CongNgheMoi\Zalo_Express_Backend\src\controllers\app.controller.js", "JavaScript", 0, 0, 123, 0, 0, 0, 1, 9, 133
"d:\CongNgheMoi\Zalo_Express_Backend\src\controllers\chat.controller.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 10, 124
"d:\CongNgheMoi\Zalo_Express_Backend\src\controllers\user.controller.js", "JavaScript", 0, 0, 184, 0, 0, 0, 1, 20, 205
"d:\CongNgheMoi\Zalo_Express_Backend\src\middleware\handleException.middleware.js", "JavaScript", 0, 0, 16, 0, 0, 0, 8, 6, 30
"d:\CongNgheMoi\Zalo_Express_Backend\src\middleware\user.middleware.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 4, 45
"d:\CongNgheMoi\Zalo_Express_Backend\src\routes\auth.route.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 7, 24
"d:\CongNgheMoi\Zalo_Express_Backend\src\routes\chat.route.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\CongNgheMoi\Zalo_Express_Backend\src\routes\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\CongNgheMoi\Zalo_Express_Backend\src\routes\user.route.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 12, 42
"d:\CongNgheMoi\Zalo_Express_Backend\src\services\app.service.js", "JavaScript", 0, 0, 177, 0, 0, 0, 3, 12, 192
"d:\CongNgheMoi\Zalo_Express_Backend\src\services\chat.service.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 5, 163
"d:\CongNgheMoi\Zalo_Express_Backend\src\services\user.service.js", "JavaScript", 0, 0, 503, 0, 0, 0, 3, 21, 527
"d:\CongNgheMoi\Zalo_Express_Backend\src\ultils\customizeUser.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 7, 38
"d:\CongNgheMoi\Zalo_Express_Backend\src\ultils\handleJwt.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 5, 39
"d:\CongNgheMoi\Zalo_Express_Backend\src\ultils\types.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\CongNgheMoi\Zalo_Express_Backend\views\index.ejs", "HTML", 0, 0, 0, 0, 0, 26, 0, 3, 29
"Total", "-", 12, 10403, 2282, 0, 9, 26, 85, 224, 13041